Q1184268	delincuente	delincuente
Q683754	delineante	delineante
Q10264925	demagogo	demagoga
Q12360779	demógrafo	demógrafa
Q48558140	demonólogo	demonóloga
Q42296463	dendrólogo	dendróloga
Q27349	odontólogo	dentista
Q2901403	denturista	denturista
Q2447386	dermatólogo	dermatóloga
Q814214	descargador	descargadora
Q1344452	descubridor	descubridora
Q28790169	desempleado	desempleada
Q570755	despachador	despachadora
Q842782	detective	detective
Q20756907	diabetólogo	diabetóloga
Q161944	diácono	diácona
Q1208301	diácona	diácona
Q16880249	dialectólogo	dialectóloga
Q842811	dietista	dietista
Q918751	digitador	digitadora
Q193391	diplomático	diplomática
Q1162163	director	directora
Q5280518	director	directora
Q5322166	diseñador	diseñadora
Q12764792	doctorando	doctoranda
Q11814411	documentalista	documentalista
Q1235152	documentalista	documentalista
Q16889429	doxógrafo	doxógrafa
Q214917	dramaturgo	dramaturga
Q487596	dramaturgo	dramaturga
Q47847585	ecofeminista	ecofeminista
Q15839134	ecólogo	ecóloga
Q16773661	econometrista	econometrista
Q188094	economista	economista
Q1607826	editor	editora
Q2516866	editor	editora
Q17342450	editorialista	editorialista
Q974144	educador	educadora
Q1350189	egiptólogo	egiptóloga
Q1072363	ejecutivo	ejecutiva
Q165029	electricista	electricista
Q1326956	electromecánico	electromecánica
Q16271428	embriólogo	embrióloga
Q39018	emperador	emperatriz
Q703534	empleado	empleada
Q131524	emprendedor	emprendedora
Q43845	empresario	empresaria
Q1049924	empresario	empresaria
Q1756083	empujador	empujadora
Q3023339	encajero	encajera
Q5832280	encajera	encajera
Q744738	enciclopedista	enciclopedista
Q16314501	enciclopedista	enciclopedista
Q520548	encomendero	encomendera
Q1413170	encuadernador	encuadernadora
Q16919156	encuestador	encuestadora
Q4531850	endocrinólogo	endocrinóloga
Q186360	enfermero	enfermera
Q17375135	enólogo	enóloga
Q3058707	ensayador	ensayadora
Q11774202	ensayista	ensayista
Q1153051	entintador	entintadora
Q3055126	entomólogo	entomóloga
Q41583	entrenador	entrenadora
Q13416803	epidemiólogo	epidemióloga
Q15632632	epigrafista	epigrafista
Q26237228	epigramista	epigramista
Q15632482	epistemólogo	epistemóloga
Q11697052	ergonomista	ergonomista
Q26700841	escandinavista	escandinavista
Q2707485	escenógrafo	escenógrafa
Q1318187	escribano	escribana
Q36180	escritor	escritora
Q1281618	escultor	escultora
Q54810663	esgrafista	esgrafista
Q13381863	esgrimista	esgrimista
Q15976341	eslavista	eslavista
Q21148249	esmaltador	esmaltadora
Q16004492	esoterista	esoterista
Q2251335	maestro	espagnol
Q16742175	espeleólogo	espeléologa
Q860918	esperantista	esperantista
Q9352089	espía	espía
Q26936818	espongiólogo	espongióloga
Q4270517	esquiador	esquiadora
Q1569439	esquilador	esquiladora
Q372436	estadista	estadista
Q2732142	estadístico	estadística
Q14948222	estafador	estafadora
Q18810149	estenógrafo	estenógrafa
Q7611242	estereógrafo	estereógrafa
Q1537445	estibador	estibadora
Q3610436	estilista	estilista
Q16061291	estomatólogo	estomatóloga
Q7621877	estratega	estratega
Q48282	estudiante	estudiante
Q44489448	estuquista	estuquista
Q16312408	etimólogo	etimóloga
Q12347522	etnógrafo	etnógrafa
Q1371378	etnólogo	etnóloga
Q17484288	etnomusicólogo	etnomusicóloga
Q16831721	etólogo	etóloga
Q20743624	etruscólogo	etruscóloga
Q22082717	eugenista	eugenista
Q16897774	existencialista	existencialista
Q2467532	exorcista	exorcista
Q11900058	explorador	exploradora
Q10498147	explorador	exploradora
Q658371	extra	extra
Q3064032	fabulista	fabulista
Q12310971	fagotista	fagotista
Q3738757	falsificador	falsificadora
Q105186	farmacéutico	farmacéutica
Q2114605	farmacólogo	farmacóloga
Q34074720	feminista	feminista
Q28045801	fenomenólogo	fenomenóloga
Q12358881	ficólogo	ficóloga
Q12362622	filántropo	filántropa
Q1475726	filatelista	filatelista
Q4220878	filmólogo	filmóloga
Q13418253	filólogo	filóloga
Q4964182	filósofo	filósofa
Q1979607	financiero	financiera
Q13636225	finougrista	finougrista
Q169470	físico	física
Q2055046	fisiólogo	fisióloga
Q47825396	fitogeógrafo	fitogeógrafa
Q3746192	fitopatólogo	fitopatóloga
Q19757114	floricultor	floricultora
Q16735601	florista	florista
Q3075052	folclorista	folclorista
Q4439155	fondista	fondista
Q47491160	fonetista	fonetista
Q46163584	fonólogo	fonóloga
Q252924	fontanero	fontanera
Q15941468	forense	forense
Q1852228	forzudo	forzuda
Q29452088	fotograbador	fotograbadora
Q33231	fotógrafo	fotógrafa
Q3357567	fotomodelo	fotomodelo
Q957729	fotoperiodista	fotoperiodista
Q215279	freelance	freelance
Q3090865	funámbulo	funámbula
Q212238	funcionario	funcionaria
Q1328323	funcionario	funcionaria
Q19435686	fundidor	fundidora
Q937857	futbolista	futbolista
Q846430	futurólogo	futuróloga
Q20771242	galerista	galerista
